SRR6519752	L15_B002771
SRR6519753	M5_B002771
SRR6519754	M5_B002771
SRR6519755	M8_B002771
SRR6519756	F4_B000610
SRR6519757	M8_B002771
SRR6519758	M13_B002771
SRR6519759	M13_B002771
SRR6519760	M15_B002771
SRR6519761	M15_B002771
SRR6519762	M16_B002771
SRR6519763	M16_B002771
SRR6519764	N4_B002771
SRR6519765	N4_B002771
SRR6519766	N10_B002771
SRR6519767	F5_B000610
SRR6519768	N10_B002771
SRR6519769	N14_B002771
SRR6519770	N14_B002771
SRR6519771	O1_B002771
SRR6519772	O1_B002771
SRR6519773	O4_B002771
SRR6519774	O4_B002771
SRR6519775	O9_B002771
SRR6519776	O9_B002771
SRR6519777	O12_B002771
SRR6519778	F5_B000610
SRR6519779	O12_B002771
SRR6519780	O14_B002771
SRR6519781	O14_B002771
SRR6519782	O15_B002771
SRR6519783	O15_B002771
SRR6519784	P1_B002771
SRR6519785	P1_B002771
SRR6519786	P2_B002771
SRR6519787	P2_B002771
SRR6519788	P7_B002771
SRR6519789	F6_B000610
SRR6519790	P7_B002771
SRR6519791	P8_B002771
SRR6519792	P8_B002771
SRR6519793	P9_B002771
SRR6519794	P9_B002771
SRR6519795	P11_B002771
SRR6519796	P11_B002771
SRR6519797	P12_B002771
SRR6519798	P12_B002771
SRR6519799	P14_B002771
SRR6519800	F6_B000610
SRR6519801	P14_B002771
SRR6519802	P15_B002771
SRR6519803	P15_B002771
SRR6519804	P16_B002771
SRR6519805	P16_B002771
SRR6519806	P19_B002771
SRR6519807	P19_B002771
SRR6519808	P20_B002771
SRR6519809	P20_B002771
SRR6519810	P21_B002771
SRR6519811	F7_B000610
SRR6519812	P21_B002771
SRR6519813	P22_B002771
SRR6519814	P22_B002771
SRR6519815	A1_D041914
SRR6519816	A2_D041914
SRR6519817	A3_D041914
SRR6519818	A4_D041914
SRR6519819	A5_D041914
SRR6519820	A6_D041914
SRR6519821	A7_D041914
SRR6519822	F7_B000610
SRR6519823	A8_D041914
SRR6519824	A9_D041914
SRR6519825	A10_D041914
SRR6519826	A11_D041914
SRR6519827	A12_D041914
SRR6519828	A13_D041914
SRR6519829	A14_D041914
SRR6519830	A15_D041914
SRR6519831	A16_D041914
SRR6519832	A17_D041914
SRR6519833	F8_B000610
SRR6519834	A18_D041914
SRR6519835	A20_D041914
SRR6519836	A21_D041914
SRR6519837	A22_D041914
SRR6519838	B2_D041914
SRR6519839	B3_D041914
SRR6519840	B4_D041914
SRR6519841	B5_D041914
SRR6519842	B6_D041914
SRR6519843	B7_D041914
SRR6519844	A7_B000610
SRR6519845	F8_B000610
SRR6519846	B8_D041914
SRR6519847	B9_D041914
SRR6519848	B10_D041914
SRR6519849	B11_D041914
SRR6519850	B12_D041914
SRR6519851	B13_D041914
SRR6519852	B14_D041914
SRR6519853	B15_D041914
SRR6519854	B16_D041914
SRR6519855	B17_D041914
SRR6519856	F10_B000610
SRR6519857	B18_D041914
SRR6519858	B19_D041914
